timestamp,player,action,position
2026-04-28T14:35:00,Gerard Martin,Pase,Defensa
2026-04-28T14:35:02,Ferran Torres,Pase,Atacante
2026-04-28T14:35:08,I. Martinez,Pase,Defensa
2026-04-28T14:35:16,I. Martinez,Pase,Defensa
2026-04-28T14:35:25,Ferran Torres,Perdida,Atacante
2026-04-28T14:35:29,Equipo rival,Recuperacion,Rival
2026-04-28T14:35:33,Equipo rival,Pase,Rival
2026-04-28T14:35:37,Equipo rival,Pase,Rival
2026-04-28T14:35:42,Equipo rival,Pase,Rival
2026-04-28T14:35:46,Equipo rival,Pase,Rival
2026-04-28T14:35:53,Equipo rival,Pase,Rival
2026-04-28T14:35:54,Equipo rival,Pase,Rival
2026-04-28T14:35:56,Equipo rival,Pase,Rival
2026-04-28T14:36:04,Equipo rival,Pase,Rival
2026-04-28T14:36:20,Equipo rival,Pase errado,Rival
2026-04-28T14:36:25,Gerard Martin,Intercepcion,Defensa
2026-04-28T14:36:29,Equipo rival,Pase,Rival
2026-04-28T14:36:32,Equipo rival,Pase,Rival
2026-04-30T21:45:32,Ferran Torres,Pase,Atacante
2026-04-30T21:45:51,De Jong,Pase,Mediocampista
2026-04-30T21:45:56,I. Martinez,Pase,Defensa
2026-04-30T21:46:03,Gerard Martin,Pase,Defensa
2026-04-30T21:46:13,I. Martinez,Pase,Defensa
2026-04-30T21:46:28,Szczesny,Pase errado,Portero
2026-04-30T21:46:29,Szczesny,Perdida,Portero
2026-04-30T21:46:52,Equipo rival,Pase,Rival
2026-04-30T21:46:55,Equipo rival,Pase,Rival
2026-04-30T21:47:06,Equipo rival,Pase,Rival
2026-04-30T21:47:19,Equipo rival,Pase errado,Rival
2026-04-30T21:47:27,Equipo rival,Falta cometida,Rival
2026-04-30T21:47:30,Eric Garcia,Falta recibida,Defensa
2026-04-30T21:48:02,De Jong,Pase,Mediocampista
2026-04-30T21:48:06,Cubarsi,Pase,Defensa
2026-04-30T21:48:09,Szczesny,Pase,Portero
2026-04-30T21:48:26,I. Martinez,Pase errado,Defensa
2026-04-30T21:48:28,Equipo rival,Recuperacion,Rival
2026-04-30T21:48:36,Equipo rival,Pase errado,Rival
2026-04-30T21:48:50,De Jong,Intercepcion,Mediocampista
2026-04-30T21:48:55,Equipo rival,Pase,Rival
2026-04-30T21:49:00,Equipo rival,Pase,Rival
2026-04-30T21:49:05,Equipo rival,Pase,Rival
2026-04-30T21:50:08,I. Martinez,Pase,Defensa
2026-04-30T21:50:17,Ferran Torres,Pase,Atacante
2026-04-30T21:50:23,Raphinha,Perdida,Atacante
2026-04-30T21:50:25,Equipo rival,Recuperacion,Rival
2026-04-30T21:50:29,Equipo rival,Pase,Rival
2026-04-30T21:50:41,Raphinha,Recuperacion,Atacante
2026-04-30T21:50:42,Raphinha,Pase,Atacante
2026-04-30T21:50:54,Pedri,Pase,Mediocampista
2026-04-30T21:51:05,Raphinha,Pase,Atacante
2026-04-30T21:51:12,Ferran Torres,Pase errado,Atacante
2026-04-30T21:51:14,Equipo rival,Recuperacion,Rival
2026-04-30T21:51:19,Ferran Torres,Perdida,Atacante
2026-04-30T21:51:27,Equipo rival,Pase,Rival
2026-04-30T21:51:33,Equipo rival,Pase,Rival
2026-04-30T21:51:39,Equipo rival,Pase,Rival
2026-04-30T21:51:41,Equipo rival,Pase,Rival
2026-04-30T21:51:48,Equipo rival,Pase,Rival
2026-04-30T21:51:53,Equipo rival,Pase,Rival
2026-04-30T21:51:57,Equipo rival,Pase,Rival
2026-04-30T21:52:01,Equipo rival,Pase,Rival
2026-04-30T21:52:06,Equipo rival,Pase,Rival
2026-04-30T21:52:11,Equipo rival,Perdida,Rival
2026-04-30T21:52:15,Szczesny,Recuperacion,Portero
2026-04-30T21:52:30,Szczesny,Pase,Portero
2026-04-30T21:52:33,De Jong,Pase,Mediocampista
2026-04-30T21:52:42,Eric Garcia,Pase,Defensa
2026-04-30T21:52:47,Dani Olmo,Pase errado,Mediocampista
2026-04-30T21:53:03,De Jong,Pase,Mediocampista
2026-04-30T21:53:11,Cubarsi,Pase,Defensa
2026-04-30T21:53:15,Lamine Yamal,Pase,Atacante
2026-04-30T21:53:26,Dani Olmo,Pase,Mediocampista
2026-04-30T21:53:32,Gerard Martin,Pase,Defensa
2026-04-30T21:53:43,Raphinha,Regate,Atacante
2026-04-30T21:53:50,Raphinha,Pase errado,Atacante
2026-04-30T21:53:53,Equipo rival,Recuperacion,Rival
2026-04-30T21:53:58,Equipo rival,Pase,Rival
2026-04-30T21:54:03,Equipo rival,Pase,Rival
2026-04-30T21:54:08,Equipo rival,Pase,Rival
2026-04-30T21:54:37,De Jong,Recuperacion,Mediocampista
2026-04-30T21:54:47,Pedri,Pase,Mediocampista
2026-04-30T21:54:52,Equipo rival,Perdida,Rival
2026-04-30T21:55:05,Raphinha,Pase,Atacante
2026-04-30T21:55:20,Lamine Yamal,Tiro a puerta,Atacante
2026-04-30T21:55:32,Pedri,Pase,Mediocampista
2026-04-30T21:55:43,Lamine Yamal,Tiro,Atacante
2026-04-30T21:55:47,Lamine Yamal,Perdida,Atacante
2026-04-30T21:56:50,Equipo rival,Pase errado,Rival
2026-04-30T21:56:53,Equipo rival,Perdida,Rival
2026-04-30T21:56:57,I. Martinez,Recuperacion,Defensa
2026-04-30T21:56:59,I. Martinez,Pase,Defensa
2026-04-30T21:57:02,De Jong,Pase,Mediocampista
2026-04-30T21:57:10,Gerard Martin,Pase,Defensa
2026-04-30T21:57:17,Ferran Torres,Falta recibida,Atacante
2026-04-30T21:57:21,Equipo rival,Falta cometida,Rival
2026-04-30T21:57:30,Equipo rival,Tarjeta amarilla,Rival
2026-04-30T22:16:55,Pedri,Pase,Mediocampista
2026-04-30T22:16:59,Gerard Martin,Pase,Defensa
2026-04-30T22:17:02,Raphinha,Pase,Atacante
2026-04-30T22:17:07,Pedri,Pase,Mediocampista
2026-04-30T22:17:15,I. Martinez,Pase,Defensa
2026-04-30T22:17:24,Szczesny,Pase,Portero
2026-04-30T22:17:40,Eric Garcia,Falta recibida,Defensa
2026-04-30T22:17:43,Equipo rival,Falta cometida,Rival
2026-04-30T22:18:23,Eric Garcia,Regate,Defensa
2026-04-30T22:18:40,Szczesny,Pase,Portero
2026-04-30T22:18:46,I. Martinez,Pase,Defensa
2026-04-30T22:19:51,Equipo rival,Pase,Rival
2026-04-30T22:19:56,Equipo rival,Pase,Rival
2026-04-30T22:19:59,Equipo rival,Pase,Rival
2026-04-30T22:20:03,Equipo rival,Pase,Rival
2026-04-30T22:20:20,Gerard Martin,Falta cometida,Defensa
2026-04-30T22:20:30,Equipo rival,Pase,Rival
2026-04-30T22:20:32,Equipo rival,Pase,Rival
2026-04-30T22:20:37,Equipo rival,Pase,Rival
2026-04-30T22:20:48,Equipo rival,Pase,Rival
2026-04-30T22:20:52,Equipo rival,Pase errado,Rival
